Code,Variable Label,Survey Question,0-5 Years Survey,6-11 Years Survey,12-17 Years Survey,Survey Section,Sub Section,Question Section,Skip Patterns,Answer Key - Codes,Notes
K2Q05,Born 3 or More Weeks Before Due Date,Was this child born more than 3 weeks before their due date?,B1,B1,B1,,B. This Child as an Infant,,,"1 Yes, 2 No",
BIRTH_MO,Birth Month,What month and year was this child born?,B2,B2,B2,,B. This Child as an Infant,,,_ _ Birth Month,
BIRTH_YR,Birth Year,What month and year was this child born?,B2,B2,B2,,B. This Child as an Infant,,,4-Digit Birth Year,
BIRTHWT_OZ_S,"Standardized Birth Weight, Ounces",How much did they weigh when born? Answer in pounds and ounces OR kilograms and grams. Your best estimate is fine.,B3,B3,B3,,B. This Child as an Infant,,,"_ _ _ kilograms AND grams, _ _ _ pounds AND ounces",
MOMAGE,Age of Mother - Years,What was the age of the mother when this child was born? Your best estimate is fine.,B4,B4,B4,,B. This Child as an Infant,,,_ _ _ Age in years,
K6Q40,Ever Breastfed,Was this child EVER breastfed or fed breast milk?,B5,N/A,N/A,,B. This Child as an Infant,,"If No, Skip to question B7","1 Yes, 2 No",
K6Q41R_STILL,Stopped Breastfeeding - Still Breastfeeding,"If yes, how old was this child when they COMPLETELY stopped breastfeeding or being fed breast milk?",B6,N/A,N/A,,B. This Child as an Infant,,,"This child is still breastfeeding, _ _ _ days, _ _ _ months, _ _ _ weeks",
BREASTFEDEND_DAY_S,Stopped Breastfeeding - Days (Standardized),"If yes, how old was this child when they COMPLETELY stopped breastfeeding or being fed breast milk?",B6,N/A,N/A,,B. This Child as an Infant,,,"This child is still breastfeeding, _ _ _ days, _ _ _ months, _ _ _ weeks",
BREASTFEDEND_WK_S,Stopped Breastfeeding - Weeks (Standardized),"If yes, how old was this child when they COMPLETELY stopped breastfeeding or being fed breast milk?",B6,N/A,N/A,,B. This Child as an Infant,,,"This child is still breastfeeding, _ _ _ days, _ _ _ months, _ _ _ weeks",
BREASTFEDEND_MO_S,Stopped Breastfeeding - Months (Standardized),"If yes, how old was this child when they COMPLETELY stopped breastfeeding or being fed breast milk?",B6,N/A,N/A,,B. This Child as an Infant,,,"This child is still breastfeeding, _ _ _ days, _ _ _ months, _ _ _ weeks",
K6Q42R_NEVER,First Fed Formula - Never,How old was this child when they FIRST fed formula? Your best estimate is fine.,B7,N/A,N/A,,B. This Child as an Infant,,,"At birth, This child has never been fed formula, _ _ _ days, _ _ _ months, _ _ _ weeks",
FRSTFORMULA_DAY_S,First Fed Formula - Days (Standardized),How old was this child when they FIRST fed formula? Your best estimate is fine.,B7,N/A,N/A,,B. This Child as an Infant,,,"At birth, This child has never been fed formula, _ _ _ days, _ _ _ months, _ _ _ weeks",
FRSTFORMULA_WK_S,First Fed Formula - Weeks (Standardized),How old was this child when they FIRST fed formula? Your best estimate is fine.,B7,N/A,N/A,,B. This Child as an Infant,,,"At birth, This child has never been fed formula, _ _ _ days, _ _ _ months, _ _ _ weeks",
FRSTFORMULA_MO_S,First Fed Formula - Months (Standardized),How old was this child when they FIRST fed formula? Your best estimate is fine.,B7,N/A,N/A,,B. This Child as an Infant,,,"At birth, This child has never been fed formula, _ _ _ days, _ _ _ months, _ _ _ weeks",
K6Q43R_NEVER,First Fed Other - Never,"How old was this child when they were FIRST fed anything other than breast milk or formula? Include water, juice, cow’’s milk, sugar water, baby food, or anything else that your child might have been given. Your best estimate is fine",B8,N/A,N/A,,B. This Child as an Infant,,,"At birth, This child has never been fed anything other than breast milk or formula, _ _ _ days, _ _ _ months, _ _ _ weeks",
FRSTSOLIDS_DAY_S,First Fed Solids - Days (Standardized),"How old was this child when they were FIRST fed anything other than breast milk or formula? Include water, juice, cow’’s milk, sugar water, baby food, or anything else that your child might have been given. Your best estimate is fine",B8,N/A,N/A,,B. This Child as an Infant,,,"At birth, This child has never been fed anything other than breast milk or formula, _ _ _ days, _ _ _ months, _ _ _ weeks",
FRSTSOLIDS_WK_S,First Fed Solids - Days (Standardized),"How old was this child when they were FIRST fed anything other than breast milk or formula? Include water, juice, cow’’s milk, sugar water, baby food, or anything else that your child might have been given. Your best estimate is fine",B8,N/A,N/A,,B. This Child as an Infant,,,"At birth, This child has never been fed anything other than breast milk or formula, _ _ _ days, _ _ _ months, _ _ _ weeks",
FRSTSOLIDS_MO_S,First Fed Solids - Days (Standardized),"How old was this child when they were FIRST fed anything other than breast milk or formula? Include water, juice, cow’’s milk, sugar water, baby food, or anything else that your child might have been given. Your best estimate is fine",B8,N/A,N/A,,B. This Child as an Infant,,,"At birth, This child has never been fed anything other than breast milk or formula, _ _ _ days, _ _ _ months, _ _ _ weeks",
S4Q01,Doctor Visit,"DURING THE PAST 12 MONTHS, did this child see a doctor, nurse, or other health care professional for sick-child care, well-child check-ups, physical exams, hospitalizations or any other kind of medical care?",C1,C1,C1,,C. Health Care Services: Health Care Visits,,"If No, Skip to question C4 if 0-12 years; C5 if 12-17 years","1 Yes, 2 No",
DOCPRIVATE,Child Spoke with Doctor Privately,"At their LAST medical care visit, did this child have a chance to speak with a doctor or other health care provider privately, without you or another caregiver in the room?",N/A,N/A,C2,,C. Health Care Services: Health Care Visits,,,"1 Yes, 2 No",
K4Q20R,Preventive Visit - How Many Times,"If yes, DURING THE PAST 12 MONTHS, how many times did this child visit a doctor, nurse, or other health care professional to receive a PREVENTIVE check-up? A preventive check-up is when this child was not sick or injured, such as an annual or sports physical, or well-child visit.",C2,C2,C3,,C. Health Care Services: Health Care Visits,,,"1.) 0 visits, 2.) 1 visit, 3.) 2 or more visits",
DOCROOM,Preventive Visit - How Long with Doctor,"Thinking about the LAST TIME you took this child for a PREVENTIVE check-up, about how long was the doctor or health care provider who examined this child in the room with you? Your best estimate is fine.",C3,C3,C4,,C. Health Care Services: Health Care Visits,,,"1 Less than 10 minutes, 2 10-20 minutes, 3 More than 20 minutes",
HEIGHT,,What is this child’’s CURRENT height? Your best estimate is fine.,N/A,C4,C5,,C. Health Care Services: Height and Weight,,,"_ _ _ feet AND inches, _ _ _ meters AND centimeters","Data from the items on height and weight is not released individually, but they are combined to create a variable BMICLASS (10-17 years only) which is released. The questions have been removed from the 0-5 year old topic questionnaire"
WEIGHT,,How much does this child CURRENTLY weigh?,N/A,C5,C6,,C. Health Care Services: Height and Weight,,,"_ _ _ kilograms, _ _ _ pounds","Data from the items on height and weight is not released individually, but they are combined to create a variable BMICLASS (10-17 years only) which is released. The questions have been removed from the 0-5 year old topic questionnaire"
WGTCONC,Concerned About Weight,Are you concerned about this child's weight? Your best estimate is fine.,C4,C6,C7,,C. Health Care Services: Height and Weight,,,"1 Yes, it's too high, 2 Yes, it's too low, 3 No, I am not concerned",
OVERWEIGHT,Doctor Identified as Overweight,Has a doctor or other health care provider ever told you that this child is overweight?,C5,C7,C8,,C. Health Care Services: Height and Weight,,,"1 Yes, 2 No",
K6Q10,"Asked about Learning, Development, Behavior Concerns","DURING THE PAST 12 MONTHS, did this child's doctors or other health care providers ask if you have concerns about this child's learning, development, or behavior?",C6,N/A,N/A,,C. Health Care Services: Developmental Concerns & Screening,,"If child is <9 months, skip to C10","1 Yes, 2 No",
K6Q12,Questionnaire - Development Concerns,"DURING THE PAST 12 MONTHS, did a doctor or other health care provider have you or another caregiver fill out a questionnaire about observations or concerns you may have about this child's development, communication, or social behaviors? (Sometimes a child's doctor or other health care provider will ask a parent to do this at home or during a child's visit.)",C7,N/A,N/A,,C. Health Care Services: Developmental Concerns & Screening,,Answer the following question only if this child is at least 9 months old. Otherwise skip to question C8.,"1 Yes, 2 No",
K6Q13A,Questionnaire Covers Talks or Speech Sounds Concerns,"If yes, and this child is 9-23 Months:, Did the questionnaire ask about your concerns or observations about: How this child talks or makes speech sounds? Mark (X) ALL that apply",,N/A,N/A,,C. Health Care Services: Developmental Concerns & Screening,,"If yes, [and child is 9-23 months]","1 Yes, 2 No",
K6Q13B,Questionnaire Covers Interaction Concerns,"If yes, and this child is 9-23 Months:, Did the questionnaire ask about your concerns or observations about: How this child interacts with you and others? Mark (X) ALL that apply.",,N/A,N/A,,C. Health Care Services: Developmental Concerns & Screening,,"If yes, [and child is 9-23 months]","1 Yes, 2 No",
K6Q14A,Questionnaire Covers Words and Phrases Concerns,"If yes, and this child is 2-5 Years:, Did the questionnaire ask about your concerns or observations about: Words and phrases this child uses and understands? Mark (X) ALL that apply.",,N/A,N/A,,C. Health Care Services: Developmental Concerns & Screening,,"If yes, [and child is 2-5 years], did the questionnaire ask about your concerns or observations about:","1 Yes, 2 No",
K6Q14B,Questionnaire Covers Behaves and Gets Along Concerns,"If yes, and this child is 2-5 Years:, Did the questionnaire ask about your concerns or observations about: How this child behaves and gets along with you and others? Mark (X) ALL that apply.",,,C17,,C. Health Care Services: Developmental Concerns & Screening,,"If yes, [and child is 2-5 years], did the questionnaire ask about your concerns or observations about:","1 Yes, 2 No",
K4Q01,Place Usually Goes Sick,Is there a place you or another caregiver USUALLY take this child when they are sick or you need advice about their health?,C8,C8,C9,,C. Health Care Services: Usual Source of Care,,"If no, Skip to question C10 if 0-11 years; C11 if 12-17 years","1 Yes, 2 No",
K4Q02_R,Place Usually Goes Sick - Where,"If yes, where does this child USUALLY go first? Mark (X) ONE box.",C9,C9,C10,,C. Health Care Services: Usual Source of Care,,,"1 Doctor's Office, 2 Hospital Emergency Room, 3 Hospital Outpatient Department, 4 Clinic or Health Center, 5 Retail Store Clinic or ""Minute Clinic”, 6 School (Nurse's Office, Athletic Trainer's Office), 7 Some other place",
USUALGO,Place Usually Goes for Preventive Care,"Is there a place that this child USUALLY goes when they need routine preventive care, such as a physical examination or well-child check-up?",C10,C10,C11,,C. Health Care Services: Usual Source of Care,,"If No, Skip to question C12 if 0-11 years; C13 if 12-17 years","1 Yes, 2 No",
USUALSICK,Place Usually Goes for Sick Same As Preventive,"If yes, is this the same place where this child goes when they are sick?",C11,C11,C12,,C. Health Care Services: Usual Source of Care,,,"1 Yes, 2 No",
K4Q31_R,Vision Tested,"	DURING THE PAST 12 MONTHS, has this child had their vision tested, such as with pictures, shapes, or letters?",C12,C12,C13,,C. Health Care Services: Vision Testing,,"If No, Skip to question C14 if 0-11 years; C15 if 12-17 years","1 Yes, 2 No",
K4Q32X01,Vision Tested - Eye Doctor or Eye Specialist,"If yes, where was this child’’s vision tested? Mark (X) ALL that apply.",C13,C13,C14,,C. Health Care Services: Vision Testing,,,"1 Eye doctor or eye specialist (ophthalmologist, optometrist) office, 2 Pediatrician or other general doctor’’s office, 3 Clinic or health center, 4 School, 5 Other, please specify:",
K4Q32X02,Vision Tested - Pediatrician or General Doctor,"If yes, where was this child’’s vision tested? Mark (X) ALL that apply.",C13,C13,C14,,C. Health Care Services: Vision Testing,,,"1 Eye doctor or eye specialist (ophthalmologist, optometrist) office, 2 Pediatrician or other general doctor’’s office, 3 Clinic or health center, 4 School, 5 Other, please specify:",
K4Q32X03,Vision Tested - Clinic or Health Center,"If yes, where was this child’’s vision tested? Mark (X) ALL that apply.",C13,C13,C14,,C. Health Care Services: Vision Testing,,,"1 Eye doctor or eye specialist (ophthalmologist, optometrist) office, 2 Pediatrician or other general doctor’’s office, 3 Clinic or health center, 4 School, 5 Other, please specify:",
K4Q32X04,Vision Tested - School,"If yes, where was this child’’s vision tested? Mark (X) ALL that apply.",C13,C13,C14,,C. Health Care Services: Vision Testing,,,"1 Eye doctor or eye specialist (ophthalmologist, optometrist) office, 2 Pediatrician or other general doctor’’s office, 3 Clinic or health center, 4 School, 5 Other, please specify:",
K4Q32X05,Vision Tested - Other,"If yes, where was this child’’s vision tested? Mark (X) ALL that apply.",C13,C13,C14,,C. Health Care Services: Vision Testing,,,"1 Eye doctor or eye specialist (ophthalmologist, optometrist) office, 2 Pediatrician or other general doctor’’s office, 3 Clinic or health center, 4 School, 5 Other, please specify:",
K4Q30_R,Dental Provider Visit,"DURING THE PAST 12 MONTHS, did this child see a dentist or other oral health care provider for any kind of dental or oral health care?",C14,C14,C15,,C. Health Care Services: Dental Health Care,,"If No, Skip to question C17 if 0-11 years; C18 if 12-17 years","1 Yes, saw a dentist, 2 Yes, saw other oral health care provider, 3 No",
DENTISTVISIT,Preventive Dental Visit - How Many Visits,"DURING THE PAST 12 MONTHS, Did this child see a dentist or other oral health care provider for PREVENTIVE dental care, such as check-ups, dental cleanings, dental sealants, or fluoride treatments?",C15,C15,C16,,C. Health Care Services: Dental Health Care,,"1 No preventive visits in past 12 months, Skip to question C17 if 0-11 years; C18 if 12-17 years","1 No preventive visits in past 12 months, 2 Yes, 1 visit, 3 Yes, 2 or more visits",
DENTALSERV1,Dental Service - Check-up,"If yes, DURING THE PAST 12 MONTHS, what PREVENTIVE dental service(s) did this child receive? Mark (X) ALL that apply.",C16,C16,C17,,C. Health Care Services: Dental Health Care,,,"1 Check-up, 2 Cleaning, 3 Instruction on tooth brushing and oral health care, 4 X-Rays, 5 Fluoride treatment, 6 Sealant (plastic coatings on back teeth), 7 Don’’t know",
DENTALSERV2,Dental Service - Cleaning,"If yes, DURING THE PAST 12 MONTHS, what PREVENTIVE dental service(s) did this child receive? Mark (X) ALL that apply.",C16,C16,C17,,C. Health Care Services: Dental Health Care,,,"1 Check-up, 2 Cleaning, 3 Instruction on tooth brushing and oral health care, 4 X-Rays, 5 Fluoride treatment, 6 Sealant (plastic coatings on back teeth), 7 Don’’t know",
DENTALSERV3,Dental Service - Instructions on Toothbrushing,"If yes, DURING THE PAST 12 MONTHS, what PREVENTIVE dental service(s) did this child receive? Mark (X) ALL that apply.",C16,C16,C17,,C. Health Care Services: Dental Health Care,,,"1 Check-up, 2 Cleaning, 3 Instruction on tooth brushing and oral health care, 4 X-Rays, 5 Fluoride treatment, 6 Sealant (plastic coatings on back teeth), 7 Don’’t know",
DENTALSERV4,Dental Service - X-Rays,"If yes, DURING THE PAST 12 MONTHS, what PREVENTIVE dental service(s) did this child receive? Mark (X) ALL that apply.",C16,C16,C17,,C. Health Care Services: Dental Health Care,,,"1 Check-up, 2 Cleaning, 3 Instruction on tooth brushing and oral health care, 4 X-Rays, 5 Fluoride treatment, 6 Sealant (plastic coatings on back teeth), 7 Don’’t know",
DENTALSERV5,Dental Service - Fluoride Treatment,"If yes, DURING THE PAST 12 MONTHS, what PREVENTIVE dental service(s) did this child receive? Mark (X) ALL that apply.",C16,C16,C17,,C. Health Care Services: Dental Health Care,,,"1 Check-up, 2 Cleaning, 3 Instruction on tooth brushing and oral health care, 4 X-Rays, 5 Fluoride treatment, 6 Sealant (plastic coatings on back teeth), 7 Don’’t know",
DENTALSERV6,Dental Service - Sealant,"If yes, DURING THE PAST 12 MONTHS, what PREVENTIVE dental service(s) did this child receive? Mark (X) ALL that apply.",C16,C16,C17,,C. Health Care Services: Dental Health Care,,,"1 Check-up, 2 Cleaning, 3 Instruction on tooth brushing and oral health care, 4 X-Rays, 5 Fluoride treatment, 6 Sealant (plastic coatings on back teeth), 7 Don’’t know",
DENTALSERV7,Dental Service - Don't Know,"If yes, DURING THE PAST 12 MONTHS, what PREVENTIVE dental service(s) did this child receive? Mark (X) ALL that apply.",C16,C16,C17,,C. Health Care Services: Dental Health Care,,,"1 Check-up, 2 Cleaning, 3 Instruction on tooth brushing and oral health care, 4 X-Rays, 5 Fluoride treatment, 6 Sealant (plastic coatings on back teeth), 7 Don’’t know",
K4Q22_R,Mental Health Professional Treatment,"DURING THE PAST 12 MONTHS, has this child received any treatment or counseling from a mental health professional? Mental health professionals include psychiatrists, psychologists, psychiatric nurses, and clinical social workers.",C17,C17,C18,,C. Health Care Services: Mental Health Care and Other Types of Care,,"If No, this child did not need to see a mental health professionalSkip to question C19 if 0-11 years; C20 if 12-17 years","1 Yes, 2 No, but this child needed to see a mental health professional, 3 No, this child did not need to see a mental health professional",
TREATNEED,Mental Health Professional Treatment - Problem,How difficult was it to get the mental health treatment or counseling that this child needed?,C18,C18,C19,,C. Health Care Services: Mental Health Care and Other Types of Care,,,"1 Not difficult, 2 Somewhat difficult, 3 Very difficult, 4 It was not possible to obtain care",
K4Q23,Emotions Concentration Behavior Medication,"DURING THE PAST 12 MONTHS, has this child taken any medication because of difficulties with their emotions, concentration, or behavior?",C19,C19,C20,,C. Health Care Services: Mental Health Care and Other Types of Care,,,"1 Yes, 2 No",
K4Q24_R,Specialist Visit,"	DURING THE PAST 12 MONTHS, did this child see a specialist other than a mental health professional? Specialists are doctors like surgeons, heart doctors, allergy doctors, skin doctors, and others who specialize in one area of health care.",C20,C20,C21,,C. Health Care Services: Mental Health Care and Other Types of Care,,"If No, this child did not need to see a specialist, Skip to question C22 if 0-11 years; C23 if 12-17 years","1 Yes, 2 No, but this child needed to see a specialist, 3 No, this child did not need to see a specialist",
K4Q26,Specialist Visit - Problem,How difficult was it to get the specialist care that this child needed?,C21,C21,C22,,C. Health Care Services: Mental Health Care and Other Types of Care,,,"1 Not difficult, 2 Somewhat difficult, 3 Very difficult, 4 It was not possible to obtain care",
ALTHEALTH,Alternative Health Care,"	DURING THE PAST 12 MONTHS, did this child use any type of alternative health care or treatment? Alternative health care can include acupuncture, chiropractic care, relaxation therapies, herbal supplements, and others. Some therapies involve seeing a health care provider, while others can be done on your own.",C22,C22,C23,,C. Health Care Services: Mental Health Care and Other Types of Care,,,"1 Yes, 2 No",
K4Q27,Needed Health Care Not Received,"DURING THE PAST 12 MONTHS, was there any time when this child needed health care but it was not received? By health care, we mean medical care as well as other kinds of care like dental care, vision care, and mental health services.",C23,C23,C24,,C. Health Care Services: Forgone Health Care,,"If No, Skip to question C26 if 0-11 years; C27 if 12-17 years","1 Yes, 2 No",
K4Q28X01,Needed Health Care Not Received - Medical Care,"If yes, which types of care were not received? Mark (X) ALL that apply.",C24,C24,C25,,C. Health Care Services: Forgone Health Care,,,"1 Medical Care, 2 Dental Care, 3 Vision Care, 4 Hearing Care, 5 Mental Health Services, 6 Other, specify:",
K4Q28X02,Needed Health Care Not Received - Dental Care,"If yes, which types of care were not received? Mark (X) ALL that apply.",C24,C24,C25,,C. Health Care Services: Forgone Health Care,,,"1 Medical Care, 2 Dental Care, 3 Vision Care, 4 Hearing Care, 5 Mental Health Services, 6 Other, specify:",
K4Q28X03,Needed Health Care Not Received - Vision Care,"If yes, which types of care were not received? Mark (X) ALL that apply.",C24,C24,C25,,C. Health Care Services: Forgone Health Care,,,"1 Medical Care, 2 Dental Care, 3 Vision Care, 4 Hearing Care, 5 Mental Health Services, 6 Other, specify:",
K4Q28X04,Needed Health Care Not Received - Mental Health Services,"If yes, which types of care were not received? Mark (X) ALL that apply.",C24,C24,C25,,C. Health Care Services: Forgone Health Care,,,"1 Medical Care, 2 Dental Care, 3 Vision Care, 4 Hearing Care, 5 Mental Health Services, 6 Other, specify:",
K4Q28X05,Needed Health Care Not Received - Other,"If yes, which types of care were not received? Mark (X) ALL that apply.",C24,C24,C25,,C. Health Care Services: Forgone Health Care,,,"1 Medical Care, 2 Dental Care, 3 Vision Care, 4 Hearing Care, 5 Mental Health Services, 6 Other, specify:",
K4Q28X_EAR,Needed Health Care Not Received - Hearing Care,"If yes, which types of care were not received? Mark (X) ALL that apply.",C24,C24,C25,,C. Health Care Services: Forgone Health Care,,,"1 Medical Care, 2 Dental Care, 3 Vision Care, 4 Hearing Care, 5 Mental Health Services, 6 Other, specify:",
NOTELIG,Needed Health Care Not Received Due to - Not Eligible,Did any of the following reasons contribute to this child not receiving needed health services? This child was not eligible for the services Mark (X) Yes or No for EACH item.,C25a,C25a,C26a,,C. Health Care Services: Forgone Health Care,Did any of the following reasons contribute to this child not receiving needed health services?:,,"1 Yes, 2 No",
AVAILABLE,Needed Health Care Not Received Due to - Not Available,Did any of the following reasons contribute to this child not receiving needed health services? The services this child needed were not available in your area Mark (X) Yes or No for EACH item.,C25b,C25b,C26b,,C. Health Care Services: Forgone Health Care,Did any of the following reasons contribute to this child not receiving needed health services?:,,"1 Yes, 2 No",
APPOINTMENT,Needed Health Care Not Received Due to - Getting Appointment,"	Did any of the following reasons contribute to this child not receiving needed health services? There were problems getting an appointment when this child needed one Mark (X) Yes or No for EACH item.",C25c,C25c,C26c,,C. Health Care Services: Forgone Health Care,Did any of the following reasons contribute to this child not receiving needed health services?:,,"1 Yes, 2 No",
TRANSPORTCC,Needed Health Care Not Received Due to - Getting Transportation,Did any of the following reasons contribute to this child not receiving needed health services? There were problems with getting transportation or child care Mark (X) Yes or No for EACH item.,C25d,C25d,C26d,,C. Health Care Services: Forgone Health Care,Did any of the following reasons contribute to this child not receiving needed health services?:,,"1 Yes, 2 No",
NOTOPEN,Needed Health Care Not Received Due to - Office Not Open,Did any of the following reasons contribute to this child not receiving needed health services? The clinic or doctor's office wasn't open when this child needed care Mark (X) Yes or No for EACH item.,C25e,C25e,C26e,,C. Health Care Services: Forgone Health Care,Did any of the following reasons contribute to this child not receiving needed health services?:,,"1 Yes, 2 No",
ISSUECOST,Needed Health Care Not Received Due to - Cost,Did any of the following reasons contribute to this child not receiving needed health services? There were issues related to cost Mark (X) Yes or No for EACH item.,C25f,C25f,C26f,,C. Health Care Services: Forgone Health Care,Did any of the following reasons contribute to this child not receiving needed health services?:,,"1 Yes, 2 No",
C4Q04,Frustrated In Efforts to Get Service,"DURING THE PAST 12 MONTHS, how often were you frustrated in your efforts to get services for this child?",C26,C26,C27,,C. Health Care Services: Forgone Health Care,,,"1 Never, 2 Sometimes, 3 Usually, 4 Always",
HOSPITALER,Hospital Emergency Room Visits,"DURING THE PAST 12 MONTHS, how many times did this child visit a hospital emergency room?",C27,C27,C28,,C. Health Care Services: ER Use,,,"1 None, 2 1 time, 3 2 or more times",
HOSPITALSTAY,Admitted to Hospital,"DURING THE PAST 12 MONTHS, was this child admitted to the hospital to stay for at least one night?",C28,C28,C29,,C. Health Care Services: ER Use,,,"1 Yes, 2 No",
K6Q15,Special Education Plan,"	Has this child EVER had a special education or early intervention plan? Children receiving these services often have an Individualized Family Service Plan (IFSP) or Individualized Education Plan (IEP).",C29,C29,C30,,C. Health Care Services: Education & Developmetnal Services,,"If No, 	Skip to question C32 if 0-11 years; C33 if 12-17 years","1 Yes, 2 No",
SESPLANYR,Special Education Plan - Age in Years,"If yes, how old was this child at the time of the FIRST plan?",C30,C30,C31,,C. Health Care Services: Education & Developmetnal Services,,,_ _ _ years,
SESPLANMO,Special Education Plan - Age in Months (use with SESPLANYR),"If yes, how old was this child at the time of the FIRST plan?",C30,C30,C31,,C. Health Care Services: Education & Developmetnal Services,,,_ _ _ months,
SESCURRSVC,Special Education Plan - Currently,Is this child CURRENTLY receiving services under one of these plans?,C31,C31,C32,,C. Health Care Services: Education & Developmetnal Services,,,"1 Yes, 2 No",
K4Q36,Received Special Services,"Has this child EVER received special services to meet his or her developmental needs such as speech, occupational, or behavioral therapy?",C32,C32,C33,,C. Health Care Services: Education & Developmetnal Services,,"If No, Skip to question D1","1 Yes, 2 No",
K4Q37,Received Special Services - Age in Years,"If yes, how old was this child when they began receiving these special services?",C33,C33,C34,,C. Health Care Services: Education & Developmetnal Services,,,_ _ _ years AND months,
K4Q38,Received Special Services - Currently,Is this child CURRENTLY receiving these special services?,C34,C34,C35,,C. Health Care Services: Education & Developmetnal Services,,,"1 Yes, 2 No",
K4Q04_R,Personal Doctor or Nurse - One or More,"Do you have one or more persons you think of as this child’’s personal doctor or nurse? A personal doctor or nurse is a health professional who knows this child well and is familiar with this child’’s health history. This can be a general doctor, a pediatrician, a specialist doctor, a nurse practitioner, or a physician’’s assistant.",D1,D1,D1,,D. Experience with This Child's Health Care Providers: Personal Doctor or Nurse,,,"1 Yes, one person, 2 Yes, more than one person, 3 No",
K5Q10,Need a Referral,"DURING THE PAST 12 MONTHS, did this child need a referral to see any doctors or receive any services?",D2,D2,D2,,D. Experience with This Child's Health Care Providers: Referrals for Care,,"If No, Skip to question D4","1 Yes, 2 No",
K5Q11,Need a Referral - Problem,How difficult was it to get referrals?,D3,D3,D3,,D. Experience with This Child's Health Care Providers: Referrals for Care,,,"1 Not difficult, 2 Somewhat difficult, 3 Very difficult, 4 It was not possible to get a referral",
K5Q40,How Often - Spend Enough Time,"DURING THE PAST 12 MONTHS, how often did this child's doctors or other health care providers... Spend enough time with this child?",D4a,D4a,D4a,,D. Experience with This Child's Health Care Providers: Family-Centered Care,,"Answer the following questions only if this child had a health care visit IN THE PAST 12 MONTHS. Otherwise, SKIP to question E1.","1 Always, 2 Usually, 3 Sometimes, 4 Never",
K5Q41,How Often - Listen Carefully,"DURING THE PAST 12 MONTHS, how often did this child's doctors or other health care providers... Listen carefully to you?",D4b,D4b,D4b,,D. Experience with This Child's Health Care Providers: Family-Centered Care,,Only answer questions D4-D12 if child had a health care visit in the past 12 months,"1 Always, 2 Usually, 3 Sometimes, 4 Never",
K5Q42,How Often - Show Sensitivity,"DURING THE PAST 12 MONTHS, how often did this child's doctors or other health care providers... Show sensitivity to your family's values and customs?",D4c,D4c,D4c,,D. Experience with This Child's Health Care Providers: Family-Centered Care,,Only answer questions D4-D12 if child had a health care visit in the past 12 months,"1 Always, 2 Usually, 3 Sometimes, 4 Never",
K5Q43,How Often - Provide Specific Information,"DURING THE PAST 12 MONTHS, how often did this child's doctors or other health care providers... Provide the specific information you needed concerning this child?",D4d,D4d,D4d,,D. Experience with This Child's Health Care Providers: Family-Centered Care,,Only answer questions D4-D12 if child had a health care visit in the past 12 months,"1 Always, 2 Usually, 3 Sometimes, 4 Never",
K5Q44,How Often - Feel Like a Partner,"	DURING THE PAST 12 MONTHS, how often did this child's doctors or other health care providers... Help you feel like a partner in this child's care?",D4e,D4e,D4e,,D. Experience with This Child's Health Care Providers: Family-Centered Care,,Only answer questions D4-D12 if child had a health care visit in the past 12 months,"1 Always, 2 Usually, 3 Sometimes, 4 Never",
DECISIONS,Health Care Decisions Needed,"DURING THE PAST 12 MONTHS, did this child need any decisions to be made regarding their health care, such as whether to get prescriptions, referrals, or procedures?",D5,D5,D5,,D. Experience with This Child's Health Care Providers: Shared Decision Making,,"If No, Skip to question D7","1 Yes, 2 No",
DISCUSSOPT,How Often - Provider Discussed Range of Options,"DURING THE PAST 12 MONTHS, how often did this child's doctors or other health care providers... Discuss with you the range of options to consider for their health care or treatment?",D6a,D6a,D6a,,D. Experience with This Child's Health Care Providers: Shared Decision Making,,"Answer the following questions only if this child had a health care visit IN THE PAST 12 MONTHS. Otherwise, SKIP to question E1.","1 Always, 2 Usually, 3 Sometimes, 4 Never",
RAISECONC,How Often - Easy to Raise Concerns or Disagree,"	DURING THE PAST 12 MONTHS, how often did this child's doctors or other health care providers... Make it easy for you to raise concerns or disagree with recommendations for this child's health care?",D6b,D6b,D6b,,D. Experience with This Child's Health Care Providers: Shared Decision Making,,"Answer the following questions only if this child had a health care visit IN THE PAST 12 MONTHS. Otherwise, SKIP to question E1.","1 Always, 2 Usually, 3 Sometimes, 4 Never",
BESTFORCHILD,How Often - Work to Decide Together Treatment,"DURING THE PAST 12 MONTHS, how often did this child's doctors or other health care providers... Work with you to decide together which health care and treatment choices would be best for this child?",D6c,D6c,D6c,,D. Experience with This Child's Health Care Providers: Shared Decision Making,,"Answer the following questions only if this child had a health care visit IN THE PAST 12 MONTHS. Otherwise, SKIP to question E1.","1 Always, 2 Usually, 3 Sometimes, 4 Never",
K5Q20_R,Arrange Or Coordinate Care Among Doctors,"DURING THE PAST 12 MONTHS, did anyone help you arrange or coordinate this child’’s care among the different doctors or services that this child uses?",D7,D7,D7,,D. Experience with This Child's Health Care Providers: Care Coordination,,"If Did not see more than one health care provider in past 12 MONTHS, Skip to question D11","1 Yes, 2 No, 3 Did not see more than one health care provider in past 12 MONTHS",
